SaleID,PropertyID,ClientID,AgentID,SaleDate,SalePrice
1,547,539,482,2024-06-16,981719.0
2,3235,6039,18,11-27-2023,586925.0
3,2576,3389,159,2024-10-03,1199304.0
4,2278,754,382,2024-07-24,626289.0
5,1153,4580,73,14/02/2024,1427771.0
6,3780,4736,429,2024-10-22,446601.0
7,1517,172,209,07-21-2025,420569.0
8,4398,5117,363,10-20-2023,229581.0
9,3432,3577,205,12-28-2024,1622600.0
10,2745,3436,166,20/09/2024,451679.0
11,2471,667,353,2024-04-09,991796.0
12,4992,4816,368,2023-12-26,590494.0
13,2589,5009,424,26/05/2025,410743.0
14,4706,5431,109,09/09/2024,884147.0
15,794,2443,26,06-28-2025,1415237.0
16,4964,3248,170,2023-12-28,1952081.0
17,4700,134,257,2025-03-14,608582.0
18,292,6641,257,2023-12-12,279902.0
19,1217,3097,339,2024-01-13,765341.0
20,1878,6590,343,09-21-2025,379798.0
21,2315,4079,336,2024-08-26,1790069.0
22,4100,2616,429,02-07-2025,1879991.0
23,4888,4,374,2024-08-31,1815799.0
24,4862,1204,96,28/11/2023,
25,1311,6742,416,2023-10-13,1935074.0
26,547,682,422,2025-08-09,1862923.0
27,1080,5052,230,2024-05-20,977367.0
28,3040,3429,228,11-09-2023,326189.0
29,2032,327,23,2024-06-02,296933.0
30,3620,6083,167,2024-04-05,1752252.0
31,4134,2468,300,2025-02-07,98276.0
32,2455,2951,254,2023-09-29,1932374.0
33,1557,2894,172,18/11/2024,1342073.0
34,1159,5989,69,08-24-2024,477154.0
35,601,4105,396,2023-11-17,1375440.0
36,683,4331,349,2024-06-21,1292450.0
37,1295,4690,100,2023-11-29,1591310.0
38,3478,6855,278,24/01/2024,1414975.0
39,1597,3597,190,2024-02-11,1434119.0
40,2548,6378,462,2024-10-26,271135.0
41,1390,5505,417,06-06-2024,1401517.0
42,1227,2981,14,07-11-2025,1331572.0
43,501,1550,483,03/03/2024,241599.0
44,4426,5912,152,17/11/2023,98799.0
45,1653,6986,376,2024-12-06,1223421.0
46,1998,3872,471,22/08/2024,1482507.0
47,4399,4601,127,2024-11-24,1576475.0
48,344,2095,34,04-10-2024,111971.0
49,861,1458,272,01/09/2024,407993.0
50,3465,946,364,19/05/2025,58883.0
51,3585,1287,439,09-24-2023,1823790.0
52,2957,1814,312,02-24-2024,1934687.0
53,3350,117,262,2025-02-20,842576.0
54,2,5580,219,2025-01-05,1086357.0
55,4290,5834,37,2025-05-08,1466208.0
56,3729,1409,6,25/01/2024,1050659.0
57,3721,1169,32,09-27-2024,
58,3575,4237,49,30/11/2024,1528144.0
59,4973,6892,38,2024-05-08,1688437.0
60,2596,611,202,2025-05-28,1347177.0
61,304,168,353,01-20-2025,1632262.0
62,2452,6146,253,2024-07-31,1717583.0
63,4007,2524,488,2025-05-04,299180.0
64,1114,4190,456,12-24-2023,1933452.0
65,884,5433,442,2023-11-09,1493227.0
66,1769,2709,433,2024-08-03,1121676.0
67,3541,3467,40,2024-05-20,1328554.0
68,2061,936,204,09/09/2024,557424.0
69,3166,1584,451,2024-05-14,1865510.0
70,4575,1355,134,2025-09-11,
71,4005,6515,423,2025-07-14,1033685.0
72,658,1234,449,05/05/2025,1016067.0
73,1547,2245,234,2024-07-04,1170279.0
74,3138,803,240,2023-10-12,1189049.0
75,2562,2700,244,2025-07-16,1621073.0
76,1007,1827,434,31/01/2024,901808.0
77,2411,6251,116,06-13-2024,1275274.0
78,4257,4711,182,2024-08-31,1802780.0
79,4383,4627,484,2024-07-13,218216.0
80,1643,3491,191,2024-10-26,1275268.0
81,3627,5811,387,2025-03-28,847230.0
82,1082,2008,234,2024-11-20,1541074.0
83,2072,2014,102,03-12-2024,178836.0
84,2199,5942,361,2023-10-09,340714.0
85,703,4370,123,2024-11-29,1704014.0
86,4264,6470,84,04-05-2024,884269.0
87,2630,4369,370,2025-03-20,847674.0
88,2741,1472,420,02-03-2024,527306.0
89,2301,3892,207,09/06/2024,1289888.0
90,4121,1502,44,2024-06-16,1869114.0
91,552,3013,209,15/03/2025,336586.0
